Date,Price,Open,High,Low,Vol,Forecasted_Volatility
2013-01-02,112.47,111.5,112.9,111.27,183140.0,47.6831252570304
2013-01-03,112.14,112.2,112.42,111.63,190290.0,43.11679971683087
2013-01-04,111.31,111.72,111.78,110.38,191330.0,38.98910539329497
2013-01-07,111.4,111.42,111.69,110.54,203500.0,35.25572418868136
2013-01-08,111.94,111.42,112.47,111.12,194000.0,31.8806471598301
2013-01-09,111.76,111.9,112.23,111.11,171950.0,28.828660405492936
2013-01-10,111.89,111.68,113.29,111.6,196970.0,26.069192726681706
2013-01-11,110.64,111.95,111.95,109.6,168070.0,23.578864650958405
2013-01-14,111.88,110.62,112.15,110.31,110230.0,21.32725191158521
2013-01-15,110.3,111.93,112.46,110.19,101260.0,19.296228630169345
2013-01-16,110.61,110.52,110.84,110.24,19710.0,17.451297306735597
2013-01-17,111.1,109.74,111.38,109.45,206290.0,15.783827670711796
2013-01-18,111.89,111.1,111.97,110.47,182510.0,14.27855852312195
2013-01-21,111.71,111.67,111.99,111.41,74580.0,12.915236546115764
2013-01-22,112.42,111.71,112.65,111.35,207850.0,11.685644174713275
2013-01-23,112.8,112.42,113.15,112.06,239710.0,10.572307462731855
2013-01-24,113.28,112.76,113.65,112.4,211580.0,9.56698427742607
2013-01-25,113.28,113.28,113.84,112.83,204350.0,8.656972418417935
2013-01-28,113.48,113.45,113.8,112.6,172160.0,7.835118246961555
2013-01-29,114.36,113.48,114.49,113.07,208910.0,7.099308191639587
2013-01-30,114.9,114.28,115.24,114.07,200610.0,6.430847382120364
2013-01-31,115.55,114.91,115.76,114.28,195490.0,5.8293487480771775
2013-02-01,116.76,115.77,117.07,115.4,245850.0,5.299864485429437
2013-02-04,115.6,116.5,116.67,115.32,214960.0,4.822054702866679
2013-02-05,116.52,115.47,117.23,115.01,227100.0,4.385706095489547
2013-02-06,116.73,116.45,117.05,115.72,207780.0,3.980072828946413
2013-02-07,117.24,116.9,117.83,116.71,242300.0,3.619183587014876
2013-02-08,118.9,117.48,119.17,117.31,206480.0,3.3438201548311026
2013-02-11,118.13,118.9,119.07,117.54,141280.0,3.0544766032391877
2013-02-12,118.66,118.27,118.9,117.81,98000.0,2.7891680203386326
2013-02-13,118.72,118.66,119.12,118.39,27820.0,2.5440538770325216
2013-02-14,118.0,117.9,118.29,117.25,186860.0,2.339594918776537
2013-02-15,117.66,117.96,118.11,116.28,216480.0,2.146015573524638
2013-02-18,117.38,117.81,118.19,116.92,60360.0,1.9727363753166336
2013-02-19,117.52,117.48,117.6,116.55,134900.0,1.815195212757186
2013-02-20,115.6,117.35,117.66,115.02,219240.0,1.819729186826153
2013-02-21,113.53,115.2,115.31,113.32,248790.0,1.8472193184526007
2013-02-22,114.1,113.6,114.79,113.6,173500.0,1.711626166794845
2013-02-25,114.44,114.19,115.87,113.31,190540.0,1.5861376679615313
2013-02-26,112.71,113.64,114.34,112.41,257230.00000000003,1.602309086287029
2013-02-27,111.87,112.8,113.35,111.65,220010.0,1.5207162714540565
2013-02-28,111.38,111.95,112.57,110.87,224450.0,1.43074571528399
2013-03-01,110.4,110.9,111.36,109.82,251900.0,1.3885905817949715
2013-03-04,110.09,110.58,110.89,109.58,226780.0,1.3060107643643095
2013-03-05,111.61,110.1,111.93,110.1,233650.0,1.3376902935286596
2013-03-06,111.06,111.83,112.23,110.46,201770.0,1.2717589325157426
2013-03-07,111.15,111.08,111.4,110.41,213070.0,1.1981686963111928
2013-03-08,110.85,110.9,111.33,109.14,228950.0,1.1406024687596343
2013-03-11,110.22,110.67,110.72,109.53,164820.0,1.1102058612032266
2013-03-12,109.65,110.13,111.2,109.3,146000.0,1.0813123615386078
2013-03-13,108.52,109.7,109.89,107.91,106230.0,1.1193917508263038
2013-03-14,109.42,108.36,109.98,108.18,18270.0,1.1093508310358386
2013-03-15,109.82,109.32,110.53,109.02,186110.0,1.0650212677645525
2013-03-18,109.51,109.83,109.83,107.78,180930.0,1.0253225544231273
2013-03-19,107.45,109.41,109.54,107.25,226680.0,1.2423708086540497
2013-03-20,108.72,107.59,108.92,107.55,169060.0,1.252237952016846
2013-03-21,107.47,108.48,108.75,107.08,190900.0,1.2753171578491989
2013-03-22,107.66,107.31,107.96,106.9,174360.0,1.2026193577973063
