Date,Price,Open,High,Low,Vol,Change,Forecasted_Volatility
04/19/2024,87.29,87.04,90.75,86.19,499710.0,0.21,38.893734740714734
04/18/2024,87.11,87.42,87.8,86.09,433240.0,-0.21,34.94505519083114
04/17/2024,87.29,90.11,90.17,87.13,462930.0,-3.03,31.397620714278624
04/16/2024,90.02,90.43,90.84,89.41,323520.0,-0.09,28.230878026127648
04/15/2024,90.1,90.95,91.05,88.73,410360.0,-0.39,25.36568461645134
04/12/2024,90.45,90.13,92.18,90.01,401220.0,0.79,22.79235238660709
04/11/2024,89.74,90.52,90.92,89.38,377530.0,-0.82,20.48160075442682
04/10/2024,90.48,89.55,90.71,88.83,371230.0,1.19,18.406541347193727
04/09/2024,89.42,90.63,90.94,89.25,346430.0,-1.06,16.545114459119954
04/08/2024,90.38,90.09,91.1,88.78,392340.0,-0.87,14.873113891826387
04/05/2024,91.17,91.21,91.91,90.57,390780.0,0.57,13.36981989385429
04/04/2024,90.65,89.48,91.3,88.72,390950.0,1.45,12.017337347787967
04/03/2024,89.35,89.22,89.99,88.67,367370.0,0.48,10.8124152421388
04/02/2024,88.92,87.62,89.32,87.62,427940.0,1.72,9.72081224669988
04/01/2024,87.42,86.98,87.98,86.4,274960.0,-0.07,8.759136509932844
03/28/2024,87.48,86.41,87.52,86.3,18690.0,1.61,7.875804467436199
03/27/2024,86.09,85.86,86.39,85.17,96510.0,-0.19,7.1040599638001
03/26/2024,86.25,86.81,87.06,85.8,126820.0,-0.58,6.39059189967673
03/25/2024,86.75,85.5,87.17,85.4,175000.0,1.55,5.753191131350655
03/22/2024,85.43,85.66,86.15,85.11,168350.0,-0.41,5.202368524214911
03/21/2024,85.78,86.24,86.64,85.06,271870.0,-0.2,4.686781017740712
03/20/2024,85.95,87.15,87.35,85.59,386300.0,-1.64,4.222881676891178
03/19/2024,87.38,86.94,87.7,86.48,367420.0,0.56,3.849607223326197
03/18/2024,86.89,85.32,87.18,85.25,390070.0,1.82,3.47703764539646
03/15/2024,85.34,85.15,85.55,84.6,287010.0,-0.09,3.1923158417857773
03/14/2024,85.42,84.04,85.69,83.98,383730.0,1.65,2.8853030586718487
03/13/2024,84.03,82.45,84.24,81.96,391690.0,2.58,2.6682249888710716
03/12/2024,81.92,82.45,83.01,81.69,320250.0,-0.35,2.5517304514328973
03/11/2024,82.21,82.0,82.75,81.08,347330.0,0.16,2.315894025220227
03/08/2024,82.08,83.18,83.84,81.71,320300.0,-1.06,2.1051405004039836
03/07/2024,82.96,82.92,83.53,82.07,374570.0,0.0,1.9498185446038285
03/06/2024,82.96,82.01,84.05,81.85,372050.0,1.12,1.7796444996613339
03/05/2024,82.04,82.74,83.14,81.72,450400.0,-0.92,1.6638196701900787
03/04/2024,82.8,83.5,84.08,82.57,369830.0,-0.9,1.5568359734733652
03/01/2024,83.55,82.07,84.34,81.81,402470.0,-0.08,1.46334128315405
02/29/2024,83.62,83.23,83.9,83.05,16340.0,-0.07,1.3524843204587675
02/28/2024,83.68,83.3,84.31,82.6,107850.0,0.04,1.2556169335168246
02/27/2024,83.65,82.64,83.7,82.1,79810.0,1.36,1.1708096265916477
02/26/2024,82.53,81.41,83.07,81.0,180340.0,1.11,1.1769796818600753
02/23/2024,81.62,83.39,83.48,81.43,226400.0,-2.45,1.1569392893826806
